vedette	inversée	étymologie avec grec
phlegmatobbhagie	eigahbbotamgelhp	de φλέγμα, phlegme ou pituite, et ρήγνυμι, je coule avec force
phlegmon	nomgelhp	de φλεγμονή, dérivé de φλέγω, je brûle
phlegmoneux	xuenomgelhp	de φλεγμονή, phlegmon
phlegmorrhagie	eigahrromgelhp	de φλέγμα, phlegme, pituite, et ρήγνυμι, je coule avec force
phlogistique	euqitsigolhp	de φλέγω, je brûle
phlogogène	enègogolhp	de φλος, φλογδς, flamme, et γεννφν, engendrer
phlogogène2	enègogolhp	de phlogose, et γεννάν, engendrer
phlogopyre	erypogolhp	de φλε'γω, j’enflamme, et πυρ, feu
phlogose	esogolhp	de φλέγω, je brûle
phloobaphène	enèhpaboolhp	de φΐόος, écorce, et βαφη, couleur
phlooplastie	eitsalpoolhp	deaAo'oç, ou φλοιός, écorce, et πλάσσει v, former
phloorrhizine	enizihrroolhp	de φλοος, écorce, et ρίζα, racine
phlyctène	enètcylhp	de φλύζειν, bouillir 
phlyzacie	eicazylhp	de φλύζειν, bouillonner 
phocomèle	elèmocohp	άβφώκη, phoque, et μέλος, membre;
phœnicine	enicinœhp	de φοϊνιξ, pourpre
phœnodine	enidonœhp	de φοινώδης, couleur de sang
phonascie	eicsanohp	de φωνή, voix, et άσκεΐν, exercer
phonation	noitanohp	de φωνή, voix
phonique	euqinohp	de φωνή, voix
phonocamptique	euqitpmaconohp	de φωνή, voix, et κάμπτε«, fléchir
phonospasmie	eimsapsonohp	de φωνή, voix, et σπασμός, . spasme 
phoranthe	ehtnarohp	de φορός, porteur, et άνθος, fleur
phoronomie	eimonorohp	de φορός, qui porte, et νόμος, loi
phosgène	enègsohp	de φως, lumière, et γεννάω, je produis
phosphène	enèhpsohp	de φως, lumière, et φαίνειν, faire briller
phosphore	erohpsohp	de φώς, lumière, etdecpopôç, qui porte, c’est-à-dire porte-lumière 
phosphoroscope	epocsorohpsohp	et σκοπεϊν, examiner
photo-chimique	euqimihc-otohp	de φως, lumière, et chimique
photogène	enègotohp	de φως, lumière, et γεννάν, engendrer
photographie	eihpargotohp	de φως, lumière, et γραφή, dessin
photomagnétique	euqiténgamotohp	de φως, lumière, et magnétique;
photomètre	ertèmotohp	de φως, lumière, et με'τρον, mesure 
photophobie	eibohpotohp	de φως, lumière, et φόβος, crainte
photopsie	eispotohp	de φως, lumière, et οψις, vue
phrénésie	eisénérhp	de φρήν, esprit
phrénique	euqinérhp	de φρενες,ΐβ diaphragme
phrénisme	emsinérhp	de φρήν, esprit
phrénite	etinérhp	de φρε'νες, diaphragme
phréno-gastrique	euqirtsag-onérhp	de φρήν, diaphragme, et gastrique
phréno-glottisme	emsittolg-onérhp	de φρήν, diaphragme, et glotte
phrénologie	eigolonérhp	de φρήν, esprit, et λόγος, discours
phrénopathie	eihtaponérhp	de φρήν, intelligence, et πάθος, affection
phréno-splénique	euqinélps-onérhp	de φρήν, diaphragme, et splénique
phricode	edocirhp	de φρίξ, froid ou frisson fébrile, et εϊίος, ressemblance
phthartique	euqitrahthp	de φθείρει?, détruire
phthiriase	esairihthp	de φθείρ, pou
phthisie	eisihthp	φθόη de φθίνομαι, je me consume
phthisiologie	eigoloisihthp	de φθίσις, phthisie, et λόγος, traité 
phthisurie	eirusihthp	de φθίσις, phthisie, et cùpov, urine
phthore	erohthp	de φθορά, destruction
phycocyane	enaycocyhp	de φϋκος, fucus, et κυανός, bleu
phycologie	eigolocyhp	de φϋκος, algue, et λόγος, traité
phycostème	emètsocyhp	de φΰκος, algue, et στήμων, filament
phylactère	erètcalyhp	de ουλάσσειν, protéger, conserver
phyllobothrydé	édyrhtobollyhp	de φύλλου, feuille, et βόθρος, enfoncement
phyllocyanine	eninaycollyhp	de φύλλου, feuille, et κυανός, bleu
phyllode	edollyhp	de φύλλου, feuille, et ει^ος, ressemblance : qui ressemble à Une feuille 
phylloide	ediollyhp	de φύλλου, feuille, et εϊ^ος, ressemblance
phyllopode	edopollyhp	de φύλλου, feuille, et ποΰς, pied
phyllosome	emosollyhp	de φύλλου, feuille, et σώμα, corps
phyllostome	emotsollyhp	de φύλλου, feuille, et στόμα, bouche
phyllotaxie	eixatollyhp	de φύλλου, feuille, et τάσσειν, ranger
phylloxanthéine	eniéhtnaxollyhp	de φύλλου, feuille, et ξανθός, jaune
phymatine	enitamyhp	de φύμα, tumeur, tubercule
phymatoïde	edïotamyhp	de φύμα, tubercule, et eî^cç, apparence
phyme	emyhp	de φύμα, tumeur (dérivé de φύομαι, je nais, je croîs)
physconie	einocsyhp	de φύσκων, ventru
physiognosie	eisongoisyhp	de φύσις, nature, et γνώσις, connaissance
physiographie	eihpargoisyhp	de φύσις, nature, et γράφε«, décrire
physiologie	eigoloisyhp	de φύσις, nature, et λόγος, discours, traité 
physionomie	eimonoisyhp	de φύσις, nature, βίγνώμων, qui connaît
physique	euqisyhp	de φυσικός, physique, qui appartient à la nature
physocarpe	epracosyhp	de φυσά, vent, vessie, et καρπός, fruit
physocèle	elècosyhp	de φύσα; vent, air, et κήλιη, hernie, tumeur;
physocéphale	elahpécosyhp	de φύσα, vent, air, et κεφαλή, tête
physomètre	ertèmosyhp	de φύσα, vent, air, et μήτρα, matrice
physothorax	xarohtosyhp	de φύσα, vent, et thorax
phytoalopécie	eicépolaotyhp	de φυτόν, végétal, et alopécie
phytobiologie	eigoloibotyhp	de φυτό?, plante, βίος, vie, et λόγος, traité
phytochimie	eimihcotyhp	de φυτόν, plante, et χτιμία, chimie
phytochrome	emorhcotyhp	de φυ?όν, végétal, χρώμα, couleur, et [fr???], matière
phytogénésie	eisénégotyhp	de φυτόν, végétal, et γε'νεσις, naissance
phytographie	eihpargotyhp	de φυτόν, plante, βίγράφειν, décrire
phytoïde	edïotyhp	de φυτόν, plante, et είίος, forme
phytolithe	ehtilotyhp	de φυτόν, végétal, et λίθος, pierre
phytologie	eigolotyhp	de φυτόν, plante, et λόγος, discours 
phytomorphisme	emsihpromotyhp	de φυτόν, plante, et μορφή, forme
phyton	notyhp	de φυτόν, plante
phytonomie	eimonotyhp	de φυτον, plante, et νόμος, loi
phytonymie	eimynotyhp	de φυτον, végétal, et όνομα, ou όνομα, nom
phytoparasite	etisarapotyhp	de φυτον, plante, et παράσιτος, parasite
phytopathologie	eigolohtapotyhp	deφυτον, plante,etpathologie
phytoplasma	amsalpotyhp	de φυτον, et plasma
phytosperme	emrepsotyhp	de φυτον, plante, et σπέρμα, graine
phytotechnie	einhcetotyhp	de φυτον, plante, et τέχνη, art
phytotomie	eimototyhp	de φυτον, plante, et τομή, dissection
piarrhémie	eiméhrraip	de πΐαρ, graisse, et αίμα, sang
pica	acip	κίσσα qui, en grec, signifie une pie et le pica, par une assimilation entre les goûts de cet oiseau et la dépravation de goût dont il s’agit; le latin pica, qui signifie aussi pie, est une traduction faite, comme on le voit, du grec par les médecins modernes
picrine	enircip	de πικρός, amer
picrique	euqircip	de πικρός, amer
picrotoxine	enixotorcip	de πικρός, amer, et -οξικόν, poison
piézomètre	ertèmozéip	de πιεζειυ, comprimer, et μέτρου, mesure
pimélorrhée	eéhrrolémip	de πιμελή, graisse, et ρεΐν, couler
pimélose	esolémip	de πιμελή, graisse
pimélotique	euqitolémip	de πιμελή, graisse
pimélurie	eirulémip	άβπιμελή, graisse, et ούρεΐν, uriner
pissélæon	noæléssip	de πίσσα, poix, et έ'λαιον, huile; huile de poix
pittacale	elacattip	de πίττα, poix, et καλός, beau
pityriasis	sisairytip	de πίτυρον, son, partie la plus grossière du blé moulu
placorganomètre	ertèmonagrocalp	de πλάξ, plaque, organe, et mesure
pladarose	esoradalp	de πλαδαρός, flasque
plagiostome	emotsoigalp	de πλάγιος, oblique, et στόμα, bouche
plaqueminiers	sreinimeuqalp	de Δώς, Jupiter,' et πυρος, grain
plasma	amsalp	de πλάσσεις, donner une forme
plastique	euqitsalp	de πλάσσειν, former
plastodynamie	eimanydotsalp	de πλάσσειν, former, et ?ύναμις, force
plateau	uaetalp	de λεκος, plateau 
pléochboïsme	emsïobhcoélp	de πλεος, plein, et χροιά, couleur
pléomazie	eizamoélp	de πλέων, nombreux, et μαζος, mamelle
plessigraphe	ehpargisselp	de πλησσειν, frapper, etypaφειν, décrire
plessimètre	ertèmisselp	de πλησσειν, frapper, et μέτρου, mesure
pléthore	erohtélp	de πληθειν, être plein
pleurésie	eiséruelp	de πλευρά, plèvre 
pleurocele	elecoruelp	de πλευρά, côté, et κτίλζ, hernie
pleurocœnadelphe	ehpledanœcoruelp	de πλευρά, côté, Zcwqi, commun, et άίελ.φος, frère;
pleurodiscal	lacsidoruelp	de πλευρά, côté, et Slσκος, disque
pleurodynie	einydoruelp	de πλευρά, côté, et οίύνζ, douleur
pleurogyne	enygoruelp	de πλευρά, côté, et γυνή, femme
pleuromèle	elèmoruelp	βπλευρον, côté, et μέλος, membre
pleuropéripneumonie	einomuenpiréporuelp	de πλευρά, plèvre, et περιπνευμονία, péripneumonie
pleurorrhagie	eigahrroruelp	de πλευρά, plèvre, et ραγή, éruption
pleurorrhée	eéhrroruelp	de πλευράν, côté, et ρειν, fluer
pleurorrhizé	ézihrroruelp	de πλευρά, côté, et ρίζα, racine
pleurorthopnée	eénpohtroruelp	de πλευρά, côté, ορθός, droit, et πνέΐν, respirer
pleurosome	emosoruelp	de πλευρά, côté, et σώμα, corps
pleurostose	esotsoruelp	de πλευρά, plèvre, et βστέον, ds
pleurothotonos	sonotohtoruelp	de πλζοροάεν, latéralement, et τόνος, tension;
pnéobiomantie	eitnamoiboénp	de πνεΐν, respirer, βίος, vie, et μαντεία, divination
pnéographe	ehpargoénp	de πνείν, respirer, et γρα'φειν, écrire
pnéomètre	ertèmoénp	de πνεΐν, respirer, et μέτρο?, mesure
pnéoscope	epocsoénp	de πνεϊν, respirer, et σζοπεϊν, examiner
pneumarthrose	esorhtramuenp	de πνεύμα, air, et άρθρον, articulation
pneumatique	euqitamuenp	de πνεύμα, air
pneumatistes	setsitamuenp	de πνεύμα, air
pneumatocèle	elècotamuenp	de πνεύμα, air, vent, et/.ηλ’Λ, tumeur
pneumatode	edotamuenp	de πνεύμα, air, vent
pneumatologie	eigolotamuenp	de πνεύμα, air, vent, et λόγος, discours, traité
pneumatomètre	ertèmotamuenp	de πνεύμα, air, et μέτρον, mesure
pneumatomphale	elahpmotamuenp	de πνεύμα, air, et όμφαλος, nombril
pneumatorrachis	sihcarrotamuenp	de πνεύμα, air, vent, et ράχις, le rachis
pneumatose	esotamuenp	de πνεύμα, vent 
pneumocele	elecomuenp	de πνεύμων, le poumon, et de κτ,λ·Λ, tumeur, hernie
pneumogastrique	euqirtsagomuenp	de πνεύμων, poumon, et γαστήρ, ventre
pneumographe	ehpargomuenp	de πνεύμων, poumon, et γράφειν, décrire
pneumographie	eihpargomuenp	de πνεύμων, le poumon, et γραφή, description
pneumolithe	ehtilomuenp	de πνεύμων, poumon, et λίθος, pierre
pneumolithiase	esaihtilomuenp	de πνεύμων, poumon, et λιθίασις, lithiase
pneumologie	eigolomuenp	de πνεύμων, poumon, et de λόγος, discours
pneumonalgie	eiglanomuenp	de πνεύμων, le poumon, èt άλγος douleur 
pneumonomètre	ertèmonomuenp	de πνεύμων, poumon, et με'τρον, mesure
pneumonomycosis	sisocymonomuenp	de πνεύμων, poumon, et μύκνις, champignon
pneumonoscope	epocsonomuenp	de πνεύμων, poumon, et σκοπεϊν, examiner 
pneumopéricarde	edracirépomuenp	de πνεύμα, air, είπερικάρίιον, péricarde
pneumopleurésie	eiséruelpomuenp	de πνεύμων, poumon, et πλευρά, plèvre
pneumopyothorax	xarohtoypomuenp	de πνεύμων, poumon, et πύον, pus
pneumorrhagie	eigahrromuenp	de πνεύμων, poumon, et ρηγνυσθαι, faire éruption
pneumorrhée	eéhrromuenp	de πνεύμων, poumon, et ρεΐν, ihrer
pneumosargie	eigrasomuenp	de πνεύμων, poumon, et σαρξ, chair
pneumose	esomuenp	de πνεύμων, poumon
pneumothorax	xarohtomuenp	de πνεύμων, poumon, et θώραξ, poitrine
pneumotomie	eimotomuenp	de πνεύμων, le poumon, et τέμνειν, couper, disséquer
pnigalion	noilaginp	de πνίγειν, étouffer
podagre	ergadop	de ποϋς, pied, et άγρα, proie
podarthrocace	ecacorhtradop	de ποϋς, pied, άρθρου, articulation, et κάκη, maladie
podencéphale	elahpécnedop	de ποϋς, pied, et έγκε'φαλος, encéphale 
podogyne	enygodop	de ποϋς, pied, et γυνή, femme 
podolachnite	etinhcalodop	deποϋς, pied, et λάχνη, duvet
podologie	eigolodop	de ποϋς, pied, et λόγος, discours
podomètre	ertèmodop	de ποϋς, pied, et με'-ρον, mesure
podophylleux	xuellyhpodop	de ποϋς, pied, et φύλ[grc???], feuille] (Bracy-Clark)
podophyllite	etillyhpodop	de ποϋς, pied, et ψύλλον, feuille;
podoplegmatite	etitamgelpodop	de ποϋς, pied, et πλέγμα, réseau
podosperme	emrepsodop	de ποϋς, pied, et σπέρμα, graine
podotrochilite	etilihcortodop	de ποΰς, pied, et τροχιλία, poulie
policlinique	euqinilcilop	de πόλις, ville, et clinique
polyadelphe	ehpledaylop	de πολύς, beaucoup, et αδελφός, frère
polyandre	erdnaylop	de πολύς, beaucoup, etàvùp, homme
polyanthe	ehtnaylop	de πολύς," beaucoup, et άνθος, fleur
polyarthrite	etirhtraylop	de πολύς, beaucoup, et arthrite
polyatomique	euqimotaylop	de πολύς, beaucoup, et άτομο:, atome
polyblennie	einnelbylop	de πολύς, abondant, et βλέννα, mucosité
polycarpe	epracylop	de πολύς, beaucoup, et καρπός, fruit
polycéphale	elahpécylop	de πολύς, beaucoup, et κεφαλή, tète (Zederer)
polycéphale2	elahpécylop	de πολύς, beaucoup, et κεφαλή, tête
polycholie	eilohcylop	de πολύς, beaucoup, et χολή, bile
polychoriqnide	edinqirohcylop	de πολύς, beaucoup, et χο'ptev, peau
polychoriqnide	edinqirohcylop	mot hybride, "de πολύς, beaucoup, et séparé, couper
polychreste	etserhcylop	de πολύς, plusieurs, et χρηστός, bon, utile
polychroïsme	emsïorhcylop	de πολύς, beaucoup, βΐχρο'α, couleur
polychroïte	etïorhcylop	de πολύς, beaucoup, et χροίζειν, colorer
polychrome	emorhcylop	de πολύς,'beaucoup, et χρώμα, couleur
polycladie	eidalcylop	de πολύς, nombreux, et κλάδος, branche
polyclinique	euqinilcylop	de πολύς, plusieurs, el clinique
polycobie	eibocylop	de πολύς, beaucoup, et κόρη, pupille
polycotylédone	enodélytocylop	de πολύς, beaucoup, et κοτυληδών, cotylédon
polydactyle	elytcadylop	de πολύς, beaucoup, et δάκτυλος, doigt
polydipsie	eispidylop	de πολύς, beaucoup, et ίίύα, soif
polyémie	eiméylop	de πολύς, beaucoup, et αίμα, sang
polygalactie	eitcalagylop	de πολύς, beaucoup, et γάλα, lait
polygame	emagylop	de πολύς, beaucoup, et γάμος, noces 
polygéné	énégylop	de πολύς, beaucoup, et γένος, genre
polygenèse	esènegylop	de πολύς, beaucoup, et genèse
polygénie	einégylop	de πολύς, beaucoup, et γένος, genre, espèce
polygnathe	ehtangylop	de πολύς, beaucoup, et γνάθος, mâchoire
polygyne	enygylop	de πολύς, beaucoup, et γυνή, femme
polylymphie	eihpmylylop	de πολύς, beaucoup, et lympha, lymphe;
polymélien	neilémylop	de πολύς, beaucoup, et μέλος, membre
polymérie	eirémylop	de πολύς, beaucoup, et μέρος, partie
polymérisme	emsirémylop	de πολύς, plusieurs, et μέρος, partie 
polymètre	ertèmylop	de πολύς, beaucoup, et μέτρον, mesure
polymorphie	eihpromylop	de πολύς, beaucoup, et μορφή, forme
polyonychie	eihcynoylop	de πολύς, beaucoup, et ο?υξ, ongle
polyopie	eipoylop	de πολύς, beaucoup, et ό’ψις, vue
polyorexie	eixeroylop	de πολύς, beaucoup, et ό’ρεξις, appétit 
polypage	egapylop	de πολύς, nombreux, et παγεις, soudé
polyparésie	eisérapylop	de πολύς, beaucoup, et πάρεσις, faiblesse, relâchement
polypathie	eihtapylop	de πολύς, beaucoup, et πάθος, affection
polype	epylop	de πολύς, beaucoup, et ποΰς, pied
polypédie	eidépylop	de πολύς, beaucoup, βίπαΐς, enfant
polypétale	elatépylop	de πολύς, plusieurs,, et πέταλου, pétale
polyphage	egahpylop	de πολύς, nombreux, et φαγεϊυ, manger
polypharmacie	eicamrahpylop	de πολύς, beaucoup, et φάρμακου, médicament
polyphore	erohpylop	de πολύς, beaucoup, et φοράς, qui porte
polyphylle	ellyhpylop	de πολύς, plusieurs, et φύλλου, feuille
polyphysie	eisyhpylop	de πολύς, beaucoup, et φϋσα, vent
polypiose	esoipylop	de πολύς, beaucoup, είπίωυ, gras
polypodesme	emsedopylop	de polype, et δεσμός, lien
polypodie	eidopylop	de πολύς, beaucoup, et ποϋς, pied
polypore	eropylop	de πολύς, beaucoup, et πόρος, pore
polyposie	eisopylop	de πολύς, beaucoup, et πόσις, boisson 
polypotome	emotopylop	de polype, et τομή, section
polyrrhize	ezihrrylop	de πολύς, beaucoup, et ρίζα, racine
polysarcie	eicrasylop	de πολύς, beaucoup, et σαρξ, chair
polyscélie	eilécsylop	de πολύς, beaucoup, et σκέλος, jambe
polysépale	elapésylop	de πολύς, beaucoup, et sépale
polysialie	eilaisylop	de πολύς, beaucoup, et σίαλου, salive
polysomie	eimosylop	de πολύς, beaucoup, et σώμα, corps
polyspaste	etsapsylop	de πολύς, beaucoup, et σπάω, j’attire : qui a une grande force attractive
polyspesme	emsepsylop	de πολύς, plusieurs, et σπέρμα, semence, graine
polysporé	éropsylop	de πολύς, beaucoup, et σπορά, semence
polystémone	enométsylop	de πολύς, beaucoup, et στυίμωυ, filament, étamine
polystique	euqitsylop	de πολύς, beaucoup, et στίχος, rangée
polystome	emotsylop	de πολύς, beaucoup, et στόμα, bouche
polystyle	elytsylop	de πολύς, beaucoup, et στύλος, style
polytric	cirtylop	de πολύς, beaucoup, et θρΐξ, cheveu
polytrichie	eihcirtylop	de πολύς, nombreux, et θρ'ιξ, cheveu
polytrophie	eihportylop	de πολύς, beaucoup, et τροφή, nourriture
polyurie	eiruylop	de πολύς, beaucoup, et ούρον, urine
polyzoïque	euqïozylop	de πολύς, plusieurs, et ζώον, animal
pompholyx	xylohpmop	de πομφολυξ, vésicule
pore	erop	du grec πόρος, trajet, passage ;
pornographie	eihpargonrop	de πόρνη, prostituée, et γράφειν, décrire
porocele	elecorop	de πώρος, callosité, et κηλη, hernie
poroma	amorop	de πώρος, callosité
poromphale	elahpmorop	de πώρος, callosité, et όμφαλος, l’ombilic 
porotique	euqitorop	de πώρος, cal, durillon
porphyre	eryhprop	de πορφύρα, pourpre, parce que le plus beau porphyre est rouge (l’autre espèce est noire) 
porrigophyte	etyhpogirrop	de porrigo, et φυτον, végétal
posologie	eigolosop	de ποσον, quantité, et λόγος, discours
poumon	nomuop	de πνεΐν, respirer
pragmatique	euqitamgarp	de πράγμα, affaire
presbytie	eitybserp	de πρεσβΰς, vieillard, parce que les vieillards y sont surtout sujets
priapisme	emsipairp	de πρίάπος, Priape, membre viril
prionoderme	emredonoirp	de πρίων, scie, et δε'ρμα, derme
prisme	emsirp	de πρίειν, scier
prismenchyme	emyhcnemsirp	de πρίσμα, prisme, είεγγυμα, matière épanchée
proboscidien	neidicsoborp	de προβοσκις, trompe
procatarctique	euqitcratacorp	de προ, devant, κατά, au-dessus, et άρχομαι, je commence
procondyle	elydnocorp	de προ, en avant, et κόνδυλος, condyle
proctalgie	eiglatcorp	de πρωκτός, anus, et άλγος, douleur
proctite	etitcorp	de πρωκτός, anus
proctocèle	elècotcorp	de πρωκτός, anus, et κήλη, hernie
proctoptose	esotpotcorp	de πρωκτός, anus, et πτώσις, chute
proctorrhagie	eigahrrotcorp	de πρωκτός, anus, et ρήγνυμι, je romps, je déchire
proctorrhée	eéhrrotcorp	de πρωκτός, anus, et ρείν, couler
prodrome	emordorp	άβπρό, devant, et δρόμος, course ;
proégumène	enèmugéorp	de προηγούμαι, je devance 
proembryon	noyrbmeorp	de προ, avant, et έμβρυο?, embryon ; prothallium et pseudo-cotylédon, protophylle (Wigand), sporophyme (Duval-Jouve)
proencéphale	elahpécneorp	de προ, devant, et εγκέφαλος, encéphale
proglottis	sittolgorp	pour proglossis de προγλωσσίς, le bout de la langue, de προ, en avant, et γλώσσα ou γλώττα, langue
prognathe	ehtangorp	de προ, en avant, et γνάθος, mâchoire
proleptique	euqitpelorp	de προλαμβάνειν prévenir, prendre d’avance
pronostic	citsonorp	de προ, d’avance, et γινώσκειν, connaître
propathie	eihtaporp	de προ, auparavant, et πάθος, affection
prophylactique	euqitcalyhporp	άβπροφυλάσσειν, garantir ;
propolis	siloporp	de προ, devant, et πόλις, ville
proptome	emotporp	de προπίπτειν, tomber
prorrhétique	euqitéhrrorp	de πρόρρηβις, prédiction
prosapothlipse	espilhtopasorp	de προς, contre’,'Auprès, 'et άπόόλιψις, pression
prosenchyme	emyhcnesorp	de προς, contre, et έγχυμα, ce qui est versé dans
prosopalgie	eiglaposorp	de προσώπου, le visage, et άλγος, douleur
prosphyse	esyhpsorp	de πρόσφυσις, adhérence
prostatocèle	elècotatsorp	de prostate, et κήλη, tumeur
prostatolithe	ehtilotatsorp	de prostate, et λίθος, pierre
prostatorrhée	eéhrrotatsorp	de prostate, et ρεΐν, couler; prostatite chronique, écoulements’uréthro-prostatiques
prostype	epytsorp	de προ, en avant, et στύπος, tige, tronc
protéiforme	emrofiétorp	de Protée, dieu marin, qui, ςηίςϊ. changeait ses formes pour s’échapper, et forme
protéine	eniétorp	de πρώτος, premier
protéranthé	éhtnarétorp	άβπρότερος antérieur, et άνθος, fleur
prothèse	esèhtorp	de προ, au lieu de, et τίθημι, je pose, je place
proto	otorp	de πρώτος, premier
protogala	alagotorp	de πρώτος, premier, et γάλα, lait
protopathie	eihtapotorp	de πρώτος, premier, et πάθος, maladie
protophylle	ellyhpotorp	de πρώτος, premier, et φύλλου, feuille
protophyte	etyhpotorp	de πρώτος, premier, et φυτου, végétal
protoplasma	amsalpotorp	de πρώτος, premier, et plasma
protovertébral	larbétrevotorp	de πρώτος, primitif, et vertébral
protozoaire	eriaozotorp	de πρώτος, premier, et ζώου, animal
protozoïde	edïozotorp	de πρώτος, primitif, et ζώου, animal
psammome	emommasp	de ψάμμος, sable
psammophis	sihpommasp	de ψάμμος, sable, et όφις, serpent
pseudarthrose	esorhtraduesp	de ψευδής, faux, et άρθρου, articulation
pseudencéphale	elahpécneduesp	de ψευδής, faux, et εγκέφαλος, encéphale 
pseudesthésie	eiséhtseduesp	de ψευδής, faux, et αΐσθάνεσθαι, sentir
pseudoblepsie	eispelboduesp	de ψευδής, faux, et βλέψις, vue 
pseudochromesthésie	eiséhtsemorhcoduesp	de ψευδής, faux, χρώμα, couleur, et αϊσθησις, sensation
pseudochromie	eimorhcoduesp	de ψευδής, faux, et χρώμα, couleur
pseudo-membrane	enarbmem-oduesp	de ψευδής, faux, et membrana, membrane
pseudomorphose	esohpromoduesp	de ψευδής, faux, et μορφή, forme
pseudoplasme	emsalpoduesp	de ψευδής, faux, et πλάσμα, formation
pseudorexie	eixeroduesp	de ψευδής, faux, et δρεξις, faim, appétit
pseudosmie	eimsoduesp	de ψευδής, faux, et οσμή, odorat
pseudosperme	emrepsoduesp	de ψευδής, faux, et σπε'ρμα, graine
psoas	saosp	de ψο'αι, les lombes
psodyme	emydosp	de ψόαι, les lombes, et δίδυμος, double
psoralier	reilarosp	de ψώρα, gale, à cause de la surface tuberculeuse du calice
psorélytrie	eirtylérosp	de ψώρα, psore, et ελυτρον, vagin
psorentérie	eirétnerosp	de ψώρα, psore, et ίντερον, intestin
psoriasis	sisairosp	de ψώρα, gale
psorique	euqirosp	de ψώρα, gale
psorophthalmie	eimlahthporosp	de ψώρα, gale, et οφθαλμός, œil
psychagogique	euqigogahcysp	de ψυχή, âme, et άγει?, conduire, diriger
psychiatrie	eirtaihcysp	de ψυχή, âme, et ιατρός, médecin
psychologie	eigolohcysp	de ψυχή, âme, λόγος, discours
psychopathie	eihtapohcysp	de ψυχή, âme, et πάθος, affection
psychose	esohcysp	de ψυχή, âme
psychrologue	eugolorhcysp	de ψυχρός, froid, et λόγος, doctrine
psychromètre	ertèmorhcysp	de ψυχρός, froid, et μέτρο?, mesure
psyctique	euqitcysp	de ψύχειν, rafraîchir
psydracium	muicardysp	de ψυδράκια, pustules 
ptarmique	euqimratp	de πταρμός, éternument
ptêne	enêtp	de πτηνός, volatil
ptéréal	laérétp	de πτερό?, aile
ptéropodes	sedoporétp	de πτερό?, aile, nageoire, et ποϋς, pied
ptérygion	noigyrétp	de πτερύγιο? petite aile, drapeau
ptérygographie	eihpargogyrétp	de πτέρυξ, aile, et γράφειν, décrire
ptérygoïde	edïogyrétp	de w~Épuç,aile,et είδος, ressemblance
ptisane	enasitp	de πτίσσειν, concasser
ptyalagogue	eugogalaytp	de πτύαλον, crachat, et άγειν, pousser
ptyaline	enilaytp	de π-όαλον, crachat
ptyalisme	emsilaytp	άβπτύαλον, salive;
ptysmagogue	eugogamsytp	de πτύσμα, crachat, et άγειν, chasser
pubiotomie	eimotoibup	de pubis, et τομή, section
pudendagre	ergadnedup	de pudendum, parties génitales externes, et άγρα, capture
puissance	ecnassiup	de posse, pouvoir; δύ?
pulsiloge	egolislup	de pulsus, pouls, et λέγεχν, indiquer;
pulsimantie	eitnamislup	de pulsus, pouls, et μαντεία, divination;
pulsimètre	ertèmislup	de pulsus, pouls, et μέτρον, mesure
pycnotique	euqitoncyp	de πυκνός, épais
pyélite	etiléyp	de πύελος, bassin
pygomèle	elèmogyp	de πυγή,fesses, et μέλος, membre
pygopage	egapogyp	de πυγή, fesses, et παγε'ις, uni
pyine	eniyp	de πϋον, pus
pyléphlébite	etibélhpélyp	de πύλη, porte, et phlébite
pylore	erolyp	de πυλωρός, portier, composé de πύλη, porte, et εύρος, gardien 
pyocyanine	eninaycoyp	de πύον, pus, et κυανός, bleu
pyocyte	etycoyp	de πύον, pus, et κύτος, cellule
pyogénie	einégoyp	de πύον, pus, et γένεσις, génération
pyohémie	eiméhoyp	de πϋον, pus, et αιμα, sang
pyoïde	edïoyp	de πύον, pus, et είδος, forme
pyomètre	ertèmoyp	de πϋον, pus, et μήτρα, la matrice
pyophthalmie	eimlahthpoyp	de ,πϋιν, pus, et οφθαλμός, œil
pyopœétique	euqitéœpoyp	de πύον, pus, et ποιεϊν, faire
pyorrhagie	eigahrroyp	de πύον, pus, et ρεϊν, couler
pyothorax	xarohtoyp	de πύον, pus, et θώραξ, poitrine
pyoxanthose	esohtnaxoyp	de πύον, pus, et ξανθός, jaune
pyozoaire	eriaozoyp	de πύον, pus, et ζώον, animal
pyrélaïne	enïaléryp	de πϋρ, feu, et ελαίου, huile
pyrénoïde	edïonéryp	de πυρήυ, noyau, et είδες, forme
pyrétique	euqitéryp	de πυρετός, fièvre
pyrétogénétique	euqiténégotéryp	de πυρετός, fièvre, et γε'υε«ις, génération
pyrétologie	eigolotéryp	de πυρετός, fièvre, -et λόγος, discours
pyrexie	eixeryp	de πϋρ, chaleur, et fièvre, et εχειυ, avoir
pyrhéliomètre	ertèmoiléhryp	de πϋρ, feu, ήλιος, soleil, et μέτρου, mesure
pyrite	etiryp	de πϋρ, feu
pyrogéné	énégoryp	de πϋρ, feu, et γένεσις, génération
pyrogenèse	esènegoryp	de πϋρ, feu, et γ/νεσις, production
pyroïde	edïoryp	de πϋρ, feu, et είδος, ressemblance, qui ressemble au feu
pyrologie	eigoloryp	de πϋρ, feu, et λόγος, discours
pyromancie	eicnamoryp	de πυρ, feu , et μαντεία, divination
pyromanie	einamoryp	de πϋρ, feu, et μανία, manie
pyromètre	ertèmoryp	de πυρ, feu, et μέτρον, mesure 
